year,species,alive_trees,total_biomass_kg,total_carbon_kg,total_co2_kg
1,Neem,962,18759.0,8816.73,32328.01
2,Neem,916,34350.0,16144.499999999998,59196.49999999999
3,Neem,873,48451.5,22772.204999999998,83498.08499999999
4,Neem,842,61887.0,29086.89,106651.93
5,Neem,815,74572.5,35049.075,128513.27499999998
6,Neem,776,84972.0,39936.84,146435.08
7,Neem,746,95115.0,44704.049999999996,163914.84999999998
8,Neem,726,105633.0,49647.509999999995,182040.86999999997
9,Neem,699,114286.5,53714.655,196953.735
10,Neem,678,123057.0,57836.78999999999,212068.22999999998
11,Neem,659,131470.5,61791.134999999995,226567.49499999997
12,Neem,634,137895.0,64810.649999999994,237639.04999999996
13,Neem,606,142713.0,67075.11,245942.06999999998
14,Neem,581,147283.5,69223.245,253818.56499999997
15,Neem,559,151768.5,71331.19499999999,261547.71499999997
16,Neem,544,157488.0,74019.36,271404.32
17,Neem,515,158362.5,74430.375,272911.375
18,Neem,498,162099.0,76186.53,279350.61
19,Neem,471,161788.5,76040.595,278815.515
20,Neem,448,161952.0,76117.44,279097.27999999997
1,Teak,982,26514.0,12461.58,45692.46
2,Teak,956,49712.0,23364.64,85670.34666666666
3,Teak,937,72149.0,33910.03,124336.77666666666
4,Teak,923,94146.0,44248.619999999995,162244.93999999997
5,Teak,905,114935.0,54019.45,198071.31666666665
6,Teak,886,134672.0,63295.84,232084.74666666664
7,Teak,873,154521.0,72624.87,266291.18999999994
8,Teak,858,173316.0,81458.51999999999,298681.23999999993
9,Teak,845,191815.0,90153.04999999999,330561.1833333333
10,Teak,834,210168.0,98778.95999999999,362189.51999999996
11,Teak,822,227694.0,107016.18,392392.66
12,Teak,804,242808.0,114119.76,418439.11999999994
13,Teak,784,256368.0,120492.95999999999,441807.51999999996
14,Teak,768,270336.0,127057.92,465879.04
15,Teak,751,283127.0,133069.69,487922.19666666666
16,Teak,736,295872.0,139059.84,509886.07999999996
17,Teak,717,306159.0,143894.72999999998,527614.0099999999
18,Teak,705,318660.0,149770.19999999998,549157.3999999999
19,Teak,690,329130.0,154691.09999999998,567200.6999999998
20,Teak,665,333830.0,156900.09999999998,575300.3666666666
1,Mahogany,978,23961.0,11261.67,41292.79
2,Mahogany,943,43849.5,20609.265,75567.305
3,Mahogany,914,62609.0,29426.23,107896.17666666667
4,Mahogany,891,80635.5,37898.685,138961.84499999997
5,Mahogany,868,97650.0,45895.5,168283.5
6,Mahogany,840,112980.0,53100.6,194702.19999999998
7,Mahogany,821,128486.5,60388.655,221425.06833333333
8,Mahogany,802,143157.0,67283.79,246707.22999999995
9,Mahogany,778,155989.0,73314.83,268821.04333333333
10,Mahogany,760,169100.0,79477.0,291415.6666666666
11,Mahogany,743,181663.5,85381.845,313066.765
12,Mahogany,720,191880.0,90183.59999999999,330673.19999999995
13,Mahogany,694,200219.0,94102.93,345044.0766666666
14,Mahogany,672,208656.0,98068.31999999999,359583.83999999997
15,Mahogany,654,217455.0,102203.84999999999,374747.44999999995
16,Mahogany,640,226880.0,106633.59999999999,390989.86666666664
17,Mahogany,614,231171.0,108650.37,398384.68999999994
18,Mahogany,598,238303.0,112002.40999999999,410675.5033333333
19,Mahogany,577,242628.5,114035.39499999999,418129.7816666666
20,Mahogany,550,243375.0,114386.25,419416.25
1,Banyan,954,29574.0,13899.779999999999,50965.85999999999
2,Banyan,898,52982.0,24901.539999999997,91305.64666666665
3,Banyan,845,73515.0,34552.049999999996,126690.84999999998
4,Banyan,809,93035.0,43726.45,160330.31666666665
5,Banyan,772,110396.0,51886.119999999995,190249.10666666663
6,Banyan,728,124488.0,58509.35999999999,214534.31999999998
7,Banyan,691,137509.0,64629.229999999996,236973.84333333332
8,Banyan,670,152090.0,71482.3,262101.76666666666
9,Banyan,640,163200.0,76704.0,281248.0
10,Banyan,613,173479.0,81535.12999999999,298962.1433333333
11,Banyan,589,183179.0,86094.12999999999,315678.4766666666
12,Banyan,559,189501.0,89065.47,326573.39
13,Banyan,522,191574.0,90039.78,330145.86
14,Banyan,491,193945.0,91154.15,334231.8833333333
15,Banyan,467,197541.0,92844.26999999999,340428.98999999993
16,Banyan,451,203401.0,95598.47,350527.7233333333
17,Banyan,424,203096.0,95455.12,350002.10666666663
18,Banyan,407,206349.0,96984.03,355608.11
19,Banyan,381,203835.0,95802.45,351275.64999999997
20,Banyan,357,200991.0,94465.76999999999,346374.48999999993
1,Peepal,962,15584.399999999994,7324.667999999997,26857.115999999987
2,Peepal,916,28579.199999999993,13432.223999999997,49251.48799999998
3,Peepal,873,40332.600000000006,18956.322,69506.514
4,Peepal,842,51530.40000000001,24219.288000000004,88804.05600000001
5,Peepal,815,62103.000000000015,29188.410000000003,107024.17000000001
6,Peepal,776,70771.20000000003,33262.46400000001,121962.36800000002
7,Peepal,746,79225.20000000001,37235.844000000005,136531.428
8,Peepal,726,87991.20000000001,41355.864,151638.168
9,Peepal,699,95203.80000000002,44745.78600000001,164067.882
10,Peepal,678,102513.60000000002,48181.39200000001,176665.10400000002
11,Peepal,659,109525.8,51477.126,188749.46199999997
12,Peepal,634,114880.80000000002,53993.976,197977.912
13,Peepal,606,118897.20000000001,55881.684,204899.508
14,Peepal,581,122707.20000000001,57672.384000000005,211465.40800000002
15,Peepal,559,126445.8,59429.526,217908.262
16,Peepal,544,131212.8,61670.01599999999,226123.39199999996
17,Peepal,515,131943.0,62013.21,227381.77
18,Peepal,498,135057.6,63477.072,232749.264
19,Peepal,471,134800.19999999998,63356.09399999999,232305.67799999996
20,Peepal,448,134937.6,63420.672,232542.46399999998
